Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Goiás;Feminino;51 a 60;E-Condutor Carreta;58
Centro-Oeste;Goiás;Feminino;61 a 70;A-Condutor Moto;778
Centro-Oeste;Goiás;Feminino;61 a 70;AB-Condutor Moto/Carro;2931
Centro-Oeste;Goiás;Feminino;61 a 70;AC-Condutor Moto/Caminhão;34
Centro-Oeste;Goiás;Feminino;61 a 70;AD-Condutor Moto/Ônibus;76
Centro-Oeste;Goiás;Feminino;61 a 70;AE-Condutor Moto/Carreta;16
Centro-Oeste;Goiás;Feminino;61 a 70;B-Condutor Carro;50692
Centro-Oeste;Goiás;Feminino;61 a 70;C-Condutor Caminhão;178
Centro-Oeste;Goiás;Feminino;61 a 70;D-Condutor Ônibus;315
Centro-Oeste;Goiás;Feminino;61 a 70;E-Condutor Carreta;15
Centro-Oeste;Goiás;Feminino;71 a 80;A-Condutor Moto;70
Centro-Oeste;Goiás;Feminino;71 a 80;AB-Condutor Moto/Carro;279
Centro-Oeste;Goiás;Feminino;71 a 80;AC-Condutor Moto/Caminhão;5
Centro-Oeste;Goiás;Feminino;71 a 80;AD-Condutor Moto/Ônibus;13
Centro-Oeste;Goiás;Feminino;71 a 80;AE-Condutor Moto/Carreta;2
Centro-Oeste;Goiás;Feminino;71 a 80;B-Condutor Carro;17902
