Região Habilitação Atual;UF Habilitação Atual;Sexo;Faixa Etária;Categoria;Qt. Condutor Histórico
Centro-Oeste;Goiás;Feminino;18 a 21;AD-Condutor Moto/Ônibus;3
Centro-Oeste;Goiás;Feminino;18 a 21;B-Condutor Carro;19961
Centro-Oeste;Goiás;Feminino;18 a 21;C-Condutor Caminhão;1
Centro-Oeste;Goiás;Feminino;22 a 25;A-Condutor Moto;2169
Centro-Oeste;Goiás;Feminino;22 a 25;AB-Condutor Moto/Carro;45126
Centro-Oeste;Goiás;Feminino;22 a 25;AC-Condutor Moto/Caminhão;10
Centro-Oeste;Goiás;Feminino;22 a 25;AD-Condutor Moto/Ônibus;121
Centro-Oeste;Goiás;Feminino;22 a 25;AE-Condutor Moto/Carreta;10
Centro-Oeste;Goiás;Feminino;22 a 25;B-Condutor Carro;38976
Centro-Oeste;Goiás;Feminino;22 a 25;C-Condutor Caminhão;3
Centro-Oeste;Goiás;Feminino;22 a 25;D-Condutor Ônibus;27
Centro-Oeste;Goiás;Feminino;26 a 30;A-Condutor Moto;4775
Centro-Oeste;Goiás;Feminino;26 a 30;AB-Condutor Moto/Carro;77960
Centro-Oeste;Goiás;Feminino;26 a 30;AC-Condutor Moto/Caminhão;16
Centro-Oeste;Goiás;Feminino;26 a 30;AD-Condutor Moto/Ônibus;597
Centro-Oeste;Goiás;Feminino;26 a 30;AE-Condutor Moto/Carreta;55
Centro-Oeste;Goiás;Feminino;26 a 30;B-Condutor Carro;60381
Centro-Oeste;Goiás;Feminino;26 a 30;C-Condutor Caminhão;1
Centro-Oeste;Goiás;Feminino;26 a 30;D-Condutor Ônibus;71
Centro-Oeste;Goiás;Feminino;26 a 30;E-Condutor Carreta;4
Centro-Oeste;Goiás;Feminino;31 a 40;A-Condutor Moto;14544
Centro-Oeste;Goiás;Feminino;31 a 40;AB-Condutor Moto/Carro;163286
Centro-Oeste;Goiás;Feminino;31 a 40;AC-Condutor Moto/Caminhão;69
Centro-Oeste;Goiás;Feminino;31 a 40;AD-Condutor Moto/Ônibus;2757
Centro-Oeste;Goiás;Feminino;31 a 40;AE-Condutor Moto/Carreta;382
Centro-Oeste;Goiás;Feminino;31 a 40;B-Condutor Carro;132574
Centro-Oeste;Goiás;Feminino;31 a 40;C-Condutor Caminhão;29
Centro-Oeste;Goiás;Feminino;31 a 40;D-Condutor Ônibus;555
Centro-Oeste;Goiás;Feminino;31 a 40;E-Condutor Carreta;33
Centro-Oeste;Goiás;Feminino;41 a 50;A-Condutor Moto;14648
Centro-Oeste;Goiás;Feminino;41 a 50;AB-Condutor Moto/Carro;105727
Centro-Oeste;Goiás;Feminino;41 a 50;AC-Condutor Moto/Caminhão;99
Centro-Oeste;Goiás;Feminino;41 a 50;AD-Condutor Moto/Ônibus;2526
Centro-Oeste;Goiás;Feminino;41 a 50;AE-Condutor Moto/Carreta;425
Centro-Oeste;Goiás;Feminino;41 a 50;B-Condutor Carro;140690
Centro-Oeste;Goiás;Feminino;41 a 50;C-Condutor Caminhão;50
Centro-Oeste;Goiás;Feminino;41 a 50;D-Condutor Ônibus;1021
Centro-Oeste;Goiás;Feminino;41 a 50;E-Condutor Carreta;98
Centro-Oeste;Goiás;Feminino;51 a 60;A-Condutor Moto;7422
Centro-Oeste;Goiás;Feminino;51 a 60;AB-Condutor Moto/Carro;37861
Centro-Oeste;Goiás;Feminino;51 a 60;AC-Condutor Moto/Caminhão;145
Centro-Oeste;Goiás;Feminino;51 a 60;AD-Condutor Moto/Ônibus;874
Centro-Oeste;Goiás;Feminino;51 a 60;AE-Condutor Moto/Carreta;138
Centro-Oeste;Goiás;Feminino;51 a 60;B-Condutor Carro;109241
